lon,lat,age,plate_id,recon_lon,recon_lat,distance_deg,sub_idx,trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
140.000,-16.880,18.000,801.000,135.132,-26.223,0.214,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
141.000,-16.880,18.000,801.000,136.197,-26.173,0.203,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
142.000,-16.880,18.000,801.000,137.261,-26.121,0.193,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
143.000,-16.880,18.000,801.000,138.325,-26.066,0.184,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
144.000,-16.880,18.000,801.000,139.388,-26.008,0.176,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
145.000,-16.880,18.000,801.000,140.450,-25.946,0.169,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
146.000,-16.880,18.000,801.000,141.512,-25.882,0.164,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
147.000,-16.880,18.000,801.000,142.572,-25.815,0.160,3177.000,143.630,-16.700,7.040,38.620,6.110,-129.950,0.190,155.650,781.000,698.000,2.280,16.330,5.500,4.390,-3.930,-4.690,-1.600,-10.830,1.570,-0.300,76.720,0.100,12.640,331.310,2.540
137.000,-15.880,18.000,801.000,131.888,-25.353,0.236,3143.000,138.050,-13.090,7.370,-8.230,6.490,-177.260,0.190,204.820,781.000,698.000,8.860,9.750,7.290,-1.060,-6.480,-0.310,-1.590,-59.390,0.810,-1.370,103.230,0.150,23.640,319.190,2.380
138.000,-15.880,18.000,801.000,132.951,-25.313,0.225,3168.000,142.200,-15.690,7.130,-24.480,6.220,166.830,0.190,219.450,781.000,698.000,4.030,14.580,6.490,-2.950,-6.060,1.420,-1.600,-74.420,0.430,-1.540,107.630,0.140,25.180,353.740,2.550
