lon,lat,age,plate_id,recon_lon,recon_lat,distance_deg,sub_idx,trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
156.237,-1.954,19.000,901.000,167.622,-4.803,0.070,2805.000,165.530,-8.230,7.900,87.340,-1.560,-62.110,0.200,201.480,901.000,847.000,8.860,13.380,0.370,7.900,0.730,-1.380,-6.610,80.510,1.090,6.520,115.480,0.010,32.430,168.460,2.630
160.233,-5.161,19.000,901.000,171.465,-8.210,0.048,2832.000,169.950,-10.510,7.880,78.650,-1.540,-73.330,0.160,210.650,901.000,847.000,3.920,18.310,1.550,7.730,0.440,-1.480,-6.560,72.360,1.990,6.250,109.680,0.030,48.740,165.940,2.580
157.221,-2.801,20.000,901.000,169.156,-5.831,0.067,2681.000,167.550,-9.320,7.740,85.000,-1.420,-74.760,0.180,204.830,901.000,847.000,5.240,15.120,0.670,7.710,0.370,-1.370,-6.420,80.640,1.040,6.340,112.260,0.010,83.580,167.050,2.600
131.632,-2.802,20.000,61501.000,125.926,-12.885,0.041,2938.000,127.190,-10.890,7.750,0.670,7.280,-169.840,0.200,197.770,781.000,698.000,0.100,0.100,7.750,0.090,-7.170,-1.280,-1.330,-64.270,0.580,-1.200,106.750,0.160,31.290,492.670,2.560
139.352,2.041,21.000,654.000,144.309,-3.028,0.105,2039.000,141.650,2.400,-8.370,-100.180,8.430,139.780,0.180,344.470,653.000,610.000,3.370,17.200,-1.480,-8.240,-6.440,5.440,8.560,-159.210,-8.000,-3.040,13.480,0.000,82.100,62.740,1.660
141.600,-19.145,21.000,801.000,136.320,-30.002,0.229,3140.000,142.710,-18.200,7.050,-24.790,6.490,165.560,0.190,218.300,781.000,698.000,4.660,17.080,6.400,-2.950,-6.280,1.620,-1.340,-85.390,0.110,-1.340,109.480,0.140,43.950,112.050,2.590
140.824,3.938,22.000,655.000,145.954,-0.146,0.097,2092.000,141.970,3.710,11.220,-59.420,12.050,162.990,0.190,314.960,653.000,610.000,4.030,15.870,5.710,-9.660,-11.530,3.530,8.700,-131.720,-5.790,-6.490,10.150,0.040,63.720,57.570,1.530
124.832,4.875,22.000,645.000,123.250,-1.229,0.074,1805.000,125.780,2.180,5.080,-26.580,5.950,142.520,0.200,32.310,781.000,678.000,5.080,22.590,4.540,-2.270,-4.730,3.620,1.360,97.230,-0.170,1.350,46.640,0.070,37.260,212.890,2.060
131.013,-1.121,23.000,698.000,123.640,-13.631,0.048,3014.000,126.250,-12.640,7.750,0.670,7.320,-170.060,0.200,197.460,781.000,698.000,0.100,0.100,7.750,0.090,-7.210,-1.260,-1.290,-65.400,0.540,-1.180,115.610,0.170,69.440,1036.840,2.660
143.558,-15.729,23.000,801.000,137.713,-27.569,0.162,3101.000,142.220,-19.270,7.050,-24.790,6.480,165.470,0.190,217.770,781.000,698.000,6.940,17.080,6.400,-2.950,-6.270,1.630,-1.340,-84.900,0.120,-1.330,10.950,0.050,42.840,98.650,1.590
