lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
126.668,-7.286,6.000,566.000,127.215,-6.674,0.020,2177.000,126.740,-5.630,-7.260,103.430,0.810,151.830,0.190,269.690,801.000,301.000,0.100,1.270,-1.690,7.060,-0.720,0.380,7.820,107.840,-2.400,7.450,33.510,0.000,8.350,149.920,1.980
130.390,-12.028,169.000,801.000,91.220,-46.364,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.346,-40.611,218.000,801.000,87.860,-65.892,0.290,2002.000,131.330,-68.630,4.920,49.590,-5.160,-60.010,0.190,276.330,919.000,833.000,0.100,29.050,3.190,3.750,2.580,-4.470,-5.830,-7.190,5.780,-0.730,74.540,0.060,0.030,144.070,0.750
138.723,-40.237,126.000,801.000,104.003,-69.652,0.201,2562.000,138.240,-70.560,18.480,-44.750,-4.190,77.600,0.170,274.390,919.000,833.000,11.410,25.930,13.120,-13.010,0.900,4.100,-16.600,-32.340,14.030,-8.880,62.300,0.200,4.800,144.950,2.600
151.908,-18.882,11.000,801.000,150.945,-25.606,0.149,818.000,153.880,-17.490,0.000,0.000,5.650,174.240,0.170,197.120,849.000,829.000,0.250,11.620,0.000,0.000,-5.620,0.570,5.650,174.240,-5.620,0.570,28.170,0.000,18.550,151.010,1.930
138.259,-33.754,125.000,801.000,107.816,-63.084,0.235,2565.000,138.820,-66.690,18.940,-41.420,3.650,98.680,0.180,273.550,919.000,833.000,15.140,22.270,14.200,-12.530,-0.550,3.610,-16.300,-33.130,13.650,-8.910,55.050,0.220,3.590,138.500,2.430
103.439,-5.033,98.000,67350.000,104.214,-5.734,0.023,2057.000,105.040,-6.800,5.760,24.970,4.520,-98.270,0.190,319.370,926.000,614.000,0.880,9.770,5.220,2.430,-0.650,-4.470,-4.970,-24.280,4.530,-2.040,52.310,0.080,8.440,116.890,2.490
149.831,-5.943,20.000,830.000,159.121,-5.499,0.001,1470.000,159.070,-5.500,-3.000,147.800,-3.130,-38.900,0.200,322.770,922.000,688.000,1.980,1.980,-2.540,1.600,2.430,-1.960,0.380,-107.070,-0.110,-0.360,73.470,0.000,12.740,143.810,2.590
99.644,0.118,39.000,67352.000,102.966,0.852,0.072,352.000,100.300,-2.270,5.740,-1.200,2.270,-176.730,0.190,41.320,801.000,67351.000,12.680,18.550,5.740,-0.120,-2.270,-0.130,-3.480,-4.250,3.470,-0.260,21.680,0.060,19.180,112.330,1.900
162.144,-26.645,49.000,869.000,165.713,-47.764,0.129,2093.000,174.210,-43.390,-0.860,166.150,-4.180,-68.610,0.140,51.790,801.000,844.000,0.070,0.070,-0.830,0.210,1.530,-3.900,-3.760,-78.660,0.740,-3.680,16.090,0.000,2.100,130.090,1.790
127.019,9.385,134.000,608.000,138.775,-34.765,0.003,1430.000,138.950,-34.660,19.420,-37.660,9.040,113.300,0.200,252.410,919.000,499.000,8.550,21.790,15.370,-11.860,-3.570,8.300,-12.250,-17.370,11.700,-3.660,16.260,0.140,0.650,96.630,1.940
127.615,-25.821,191.000,801.000,75.001,-51.040,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.655,-47.315,181.000,801.000,32.425,-63.535,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.869,6.697,150.000,608.000,139.219,-49.697,0.005,876.000,138.750,-49.780,10.400,-32.070,3.930,119.260,0.190,270.370,919.000,833.000,1.500,1.500,8.810,-5.520,-1.920,3.430,-7.190,-16.970,6.870,-2.100,82.830,0.170,5.980,151.870,2.690
95.224,3.709,4.000,68601.000,95.081,3.052,0.016,405.000,94.280,2.560,5.150,-29.290,-1.880,-40.930,0.190,52.320,511.000,686.000,7.960,17.040,4.490,-2.520,1.420,-1.230,-7.010,-32.530,5.910,-3.770,52.880,0.070,12.880,209.140,2.170
96.110,-1.216,93.000,511.000,47.589,-65.228,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.081,-21.070,170.000,801.000,84.673,-55.098,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.311,-35.043,220.000,801.000,89.665,-59.711,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.793,-12.028,139.000,801.000,105.742,-43.756,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.559,-41.436,214.000,801.000,79.810,-66.030,0.312,1994.000,128.070,-70.090,4.960,48.740,-5.160,-60.010,0.190,280.060,919.000,833.000,0.100,29.050,3.270,3.730,2.580,-4.470,-5.910,-7.270,5.860,-0.750,78.550,0.060,0.040,146.930,0.760
120.276,-45.793,190.000,801.000,40.186,-57.816,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.375,-27.504,166.000,801.000,77.103,-57.423,,,,,,,,,,,,,,,,,,,,,,,,,,,
