lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
151.298,-18.500,14.000,801.000,150.118,-26.827,0.164,2062.000,153.610,-17.960,6.560,-8.540,5.660,170.070,0.190,200.740,922.000,853.000,8.880,12.850,6.480,-0.970,-5.570,0.980,-0.910,-0.190,0.910,-0.000,27.670,0.070,24.750,129.960,1.960
152.298,-18.500,14.000,801.000,151.177,-26.746,0.157,2067.000,154.540,-18.290,6.490,-8.630,5.580,169.930,0.190,200.450,922.000,853.000,7.940,13.790,6.410,-0.970,-5.490,0.980,-0.920,-0.180,0.920,-0.000,27.670,0.070,18.350,129.960,1.960
153.298,-18.500,14.000,801.000,152.234,-26.661,0.150,2071.000,155.280,-18.550,6.430,-6.860,5.520,171.650,0.170,198.370,922.000,853.000,7.190,14.540,6.380,-0.770,-5.460,0.800,-0.920,1.660,0.920,0.030,27.670,0.070,18.350,129.960,1.960
154.298,-18.500,14.000,801.000,153.290,-26.575,0.143,2075.000,155.980,-18.770,6.370,-6.920,5.450,171.560,0.170,198.150,922.000,853.000,6.490,15.240,6.330,-0.770,-5.400,0.800,-0.930,1.650,0.930,0.030,27.670,0.070,18.350,129.960,1.960
148.298,-17.500,14.000,801.000,146.852,-26.059,0.176,2058.000,152.890,-17.640,6.610,-19.990,5.720,158.660,0.190,212.520,922.000,853.000,9.640,12.100,6.210,-2.260,-5.330,2.080,-0.900,-11.790,0.890,-0.180,31.580,0.080,24.750,145.470,2.040
149.298,-17.500,14.000,801.000,147.911,-25.986,0.166,2059.000,153.060,-17.740,6.600,-20.040,5.700,158.600,0.190,212.470,922.000,853.000,9.450,12.290,6.200,-2.260,-5.310,2.080,-0.910,-11.760,0.890,-0.180,31.580,0.080,24.750,145.470,2.040
150.298,-17.500,14.000,801.000,148.968,-25.910,0.157,2060.000,153.240,-17.820,6.580,-8.500,5.690,170.120,0.190,200.850,922.000,853.000,9.260,12.470,6.510,-0.970,-5.600,0.980,-0.910,-0.190,0.910,-0.000,31.580,0.080,24.750,145.470,2.040
151.298,-17.500,14.000,801.000,150.024,-25.831,0.149,2061.000,153.420,-17.890,6.570,-8.520,5.670,170.100,0.190,200.790,922.000,853.000,9.070,12.660,6.500,-0.970,-5.590,0.980,-0.910,-0.190,0.910,-0.000,31.580,0.080,24.750,145.470,2.040
152.298,-17.500,14.000,801.000,151.080,-25.750,0.141,2065.000,154.160,-18.160,6.510,-8.590,5.610,169.980,0.190,200.560,922.000,853.000,8.320,13.420,6.440,-0.970,-5.530,0.980,-0.920,-0.180,0.920,-0.000,27.670,0.070,18.350,129.960,1.960
147.298,-16.500,14.000,801.000,145.713,-25.133,0.173,2049.000,151.380,-16.720,6.730,-18.770,5.850,160.010,0.190,212.110,922.000,853.000,10.390,10.390,6.370,-2.170,-5.500,2.000,-0.890,-11.120,0.870,-0.170,41.410,0.090,12.580,200.940,2.120
148.298,-16.500,14.000,801.000,146.769,-25.062,0.163,2054.000,152.220,-17.230,6.660,-19.830,5.780,158.880,0.190,212.720,922.000,853.000,10.400,11.340,6.270,-2.260,-5.390,2.080,-0.900,-11.870,0.880,-0.180,36.060,0.080,24.750,160.660,2.130
