lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
146.544,-8.758,227.0,615.0,120.366,-35.528,0.144,1406.0,129.82,-32.83,3.73,54.56,-1.98,-78.53,0.19,248.23,919.0,801.0,8.58,18.75,2.16,3.04,0.39,-1.94,-2.79,23.28,2.56,1.1,24.6,0.02,-0.01,124.81,2.06,0
140.827,-5.828,56.0,615.0,133.007,-33.93,0.151,2583.0,143.43,-33.41,0.0,0.0,-5.69,-25.04,0.2,50.73,836.0,836.0,0.1,14.24,0.0,0.0,5.15,-2.41,-5.69,-25.04,5.15,-2.41,11.56,0.0,4.71,185.87,1.69,0
138.894,-3.247,55.0,698.0,133.79,-27.431,0.084,1917.0,136.86,-23.47,-3.0,101.4,-6.66,-39.45,0.2,35.24,780.0,678.0,6.31,6.31,-0.59,2.94,5.15,-4.23,-4.72,-15.39,4.55,-1.25,85.58,0.0,8.16,470.51,2.59,0
144.434,-4.077,165.0,69701.0,144.434,-4.077,0.215,2109.0,133.5,-9.92,9.64,-21.57,9.53,131.99,0.19,239.01,926.0,786.0,0.09,24.72,8.96,-3.54,-6.37,7.08,-4.44,53.44,2.64,3.57,61.65,0.15,88.81,149.13,2.7,0
146.478,-6.309,10.0,698.0,144.718,-12.747,0.028,832.0,145.55,-11.35,0.0,0.0,6.94,162.28,0.19,212.06,849.0,829.0,1.61,1.61,0.0,0.0,-6.61,2.11,6.94,162.28,-6.61,2.11,19.76,0.0,13.68,117.9,1.65,0
139.563,-3.691,72.0,698.0,131.008,-31.167,0.133,1595.0,139.14,-28.35,5.57,-0.08,2.68,-160.59,0.2,65.91,780.0,678.0,2.23,2.23,5.57,-0.01,-2.53,-0.89,-3.17,-16.12,3.04,-0.88,72.39,0.1,45.26,263.76,2.58,0
137.82,-4.574,198.0,615.0,105.179,-37.083,0.255,649.0,123.67,-38.25,-4.84,91.25,-4.28,-45.74,0.2,251.41,919.0,801.0,0.1,0.1,-0.11,4.84,2.99,-3.06,-3.4,31.56,2.9,1.78,51.0,0.0,10.62,242.64,2.57,0
132.988,-2.7,194.0,61501.0,100.407,-34.279,0.323,1358.0,122.79,-39.44,4.88,54.44,-4.27,-80.99,0.2,288.38,919.0,801.0,0.1,13.6,2.84,3.97,0.67,-4.22,-3.53,-4.22,3.52,-0.26,56.26,0.05,16.64,278.41,2.61,0
145.863,-6.36,92.0,698.0,136.606,-34.964,0.19,1918.0,148.03,-29.82,4.52,76.0,1.94,-155.8,0.04,235.65,901.0,869.0,0.02,0.02,1.09,4.39,-1.77,-0.79,3.66,100.62,-0.67,3.6,34.03,0.0,6.0,150.29,2.17,0
135.799,-4.446,224.0,615.0,108.386,-30.506,0.289,1408.0,127.55,-29.39,3.53,69.11,-2.01,-69.08,0.2,242.2,919.0,801.0,13.05,15.46,1.26,3.29,0.72,-1.88,-2.44,35.68,1.98,1.42,24.45,0.01,1.81,129.93,2.24,0
